,pregweek,Q3,Q5,Q10,Q95,Q97.5,median
139,34.57142857,270.9033518,274.5014083,280.0417212,324.6690502,329.4744455,299.5852293
140,34.71428571,272.0505045,275.6620302,281.2230833,326.0174739,330.840858,300.839752
141,34.85714286,273.1893719,276.8143669,282.39616,327.3576122,332.1989853,302.0859895
142,35,274.3198522,277.9583165,283.5608496,328.6893634,333.5487254,303.3238399
143,35.14285714,275.4418439,279.0937774,284.7170506,330.012626,334.8899769,304.5532017
144,35.28571429,276.5552454,280.2206482,285.8646614,331.3272984,336.2226382,305.7739733
145,35.42857143,277.6599549,281.3388269,287.0035803,332.6332789,337.5466076,306.9860529
146,35.57142857,278.7558709,282.4482122,288.1337056,333.9304658,338.8617834,308.189339
147,35.71428571,279.8428917,283.5487023,289.2549357,335.2187575,340.168064,309.3837299
148,35.85714286,280.9209159,284.6401957,290.3671692,336.4980526,341.465348,310.5691241
149,36,281.9898415,285.7225906,291.4703041,337.7682491,342.7535335,311.7454198
150,36.14285714,283.0495671,286.7957854,292.5642391,339.0292456,344.0325189,312.9125155
151,36.28571429,284.0999911,287.8596787,293.6488724,340.2809406,345.3022027,314.0703096
152,36.42857143,285.1410117,288.9141686,294.7241023,341.5232321,346.5624832,315.2187004
153,36.57142857,286.1725274,289.9591536,295.7898274,342.7560187,347.8132587,316.3575861
154,36.71428571,287.1944366,290.994532,296.8459458,343.9791988,349.0544277,317.4868654
155,36.85714286,288.2066376,292.0202022,297.8923562,345.1926707,350.2858885,318.6064365
156,37,289.2090288,293.0360626,298.9289566,346.3963328,351.5075395,319.7161977
157,37.14285714,290.2015084,294.0420116,299.9556457,347.5900834,352.719279,320.8160475
158,37.28571429,291.1839751,295.0379475,300.9723217,348.773821,353.9210055,321.9058843
159,37.42857143,292.156327,296.0237687,301.9788829,349.9474438,355.1126173,322.9856063
160,37.57142857,293.1184626,296.9993735,302.9752278,351.1108503,356.2940127,324.0551119
161,37.71428571,294.0702802,297.9646604,303.9612547,352.2639389,357.4650901,325.1142996
162,37.85714286,295.0116783,298.9195278,304.9368621,353.4066079,358.6257481,326.1630678
163,38,295.9425551,299.8638738,305.9019483,354.5387556,359.7758847,327.2013147
164,38.14285714,296.8628091,300.7975971,306.8564115,355.6602805,360.9153985,328.2289388
165,38.28571429,297.7723386,301.7205958,307.8001504,356.7710809,362.0441878,329.2458384
166,38.42857143,298.671042,302.6327685,308.7330631,357.8710552,363.162151,330.2519118
167,38.57142857,299.5588176,303.5340134,309.655048,358.9601017,364.2691865,331.2470575
168,38.71428571,300.4355639,304.4242289,310.5660036,360.0381189,365.3651925,332.2311739
169,38.85714286,301.3011792,305.3033135,311.4658283,361.1050052,366.4500677,333.2041593
170,39,302.1555618,306.1711654,312.3544202,362.1606587,367.5237102,334.165912
171,39.14285714,302.9986102,307.027683,313.2316779,363.204978,368.5860184,335.1163305
172,39.28571429,303.8302228,307.8727648,314.0974998,364.2378615,369.6368908,336.0553131
173,39.42857143,304.6502978,308.7063091,314.9517841,365.2592074,370.6762256,336.9827582
174,39.57142857,305.4587336,309.5282142,315.7944293,366.2689141,371.7039212,337.8985641
175,39.71428571,306.2554287,310.3383785,316.6253336,367.2668801,372.7198761,338.8026293
176,39.85714286,307.0402814,311.1367005,317.4443957,368.2530038,373.7239887,339.6948521
177,40,307.81319,311.9230784,318.2515136,369.2271833,374.7161571,340.5751308
